kilometraje;precio;año;modelo_Model 3;modelo_Model S;modelo_Model X;modelo_Model Y;color_azul;color_blanco;color_gris;color_marron;color_negro;color_plata;color_rojo;pais_España;pais_Francia;pais_Portugal
6197;88890;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
997;90270;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
577;90520;2024;False;True;False;False;False;False;False;False;True;False;False;True;False;False
1151;91080;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
27;91790;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
16;97500;2024;False;True;False;False;False;False;False;False;False;True;False;True;False;False
503;99600;2024;False;True;False;False;False;True;False;False;False;False;False;True;False;False
3652;101270;2024;False;True;False;False;False;False;False;False;True;False;False;True;False;False
98;102270;2024;False;True;False;False;False;True;False;False;False;False;False;True;False;False
0;102270;2024;False;True;False;False;False;True;False;False;False;False;False;True;False;False
1700;102320;2024;False;True;False;False;False;False;False;False;True;False;False;True;False;False
0;102330;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
25;111430;2024;False;True;False;False;False;False;False;False;False;True;False;True;False;False
21;115240;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
20;116660;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
3057;36050;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
6578;36190;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
5915;37010;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;37770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
39;38080;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
3906;38300;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;38470;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;38470;2024;True;False;False;False;False;False;False;False;False;False;True;True;False;False
15;38520;2024;True;False;False;False;False;False;False;False;False;False;True;True;False;False
73;38770;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;39120;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
0;41470;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
2203;42640;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;42770;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
4790;43560;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;43750;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
7381;43870;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
6448;44060;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
2051;44360;2024;True;False;False;False;False;False;False;False;False;False;True;True;False;False
0;44370;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
13;45070;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
222;45220;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
1203;45370;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;45470;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;45750;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
26;45770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
4446;45990;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;46530;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
3380;46600;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
440;46640;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;46770;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;46770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
13;46990;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;47470;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;48120;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;48370;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
20;49070;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;49420;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
3853;54660;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
3325;54860;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
1726;55390;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
13;56020;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;59770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
0;59770;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;60820;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;60820;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
3648;95860;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
5936;100160;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
4086;100570;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
1015;100940;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
5681;102220;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
1405;102640;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;104370;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
208;104730;2024;False;False;True;False;False;False;True;False;False;False;False;True;False;False
34;106050;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
3295;106910;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;107870;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
23;109540;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
3206;109710;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
0;110270;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
60;111440;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
32;113820;2024;False;False;True;False;False;False;True;False;False;False;False;True;False;False
0;115670;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;116170;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
0;118070;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
0;118070;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
92;118070;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;118720;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
0;119670;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
25;119820;2024;False;False;True;False;False;False;False;False;False;False;True;True;False;False
8864;42140;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
18609;42150;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
5950;42670;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
2582;43780;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
0;44260;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
6314;44390;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
5673;44770;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
31;45090;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;45310;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
17306;45370;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
8712;45370;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
8297;45420;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;45560;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
0;45560;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
1317;45660;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
5127;45890;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
0;46360;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
4317;46700;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
1011;46720;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;46760;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
1991;46840;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;46860;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
3485;46950;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;47140;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
4460;47490;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;47660;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
7086;48060;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;48060;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
0;48060;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
2545;48070;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
3294;48930;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
2036;49040;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;49110;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
0;49360;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;49410;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
948;49460;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
55;49740;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
4018;49830;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
401;49840;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
4042;50400;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;50410;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
2501;50950;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
5;50980;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
12454;51260;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
2857;51420;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
0;51760;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;51760;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
689;51820;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
1523;52480;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
4260;52920;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
12;52990;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
26;53050;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;53060;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
565;54910;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
2291;55140;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
9;55350;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;55640;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;56420;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
612;56740;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
23;56870;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
95;56870;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
7;58350;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
179;58810;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;58920;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
0;58970;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;58970;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
53;59360;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
831;59960;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
0;60270;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
395;61500;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
0;61620;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
0;66420;2024;False;False;False;True;False;False;False;False;False;False;True;True;False;False
117457;28900;2018;False;True;False;False;False;False;False;False;False;True;False;True;False;False
115551;31200;2018;False;True;False;False;False;False;False;False;True;False;False;True;False;False
70615;33200;2018;False;True;False;False;False;False;False;False;True;False;False;True;False;False
68303;33900;2018;False;True;False;False;False;False;False;False;True;False;False;True;False;False
13184;77200;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
12410;78800;2023;False;True;False;False;False;False;False;False;True;False;False;True;False;False
8276;79900;2023;False;True;False;False;False;False;False;False;True;False;False;True;False;False
6301;81800;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
3269;83600;2023;False;True;False;False;False;False;False;False;False;False;True;True;False;False
15046;85700;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
60048;28900;2019;True;False;False;False;False;False;False;False;True;False;False;True;False;False
37725;30800;2022;True;False;False;False;False;False;False;False;False;True;False;True;False;False
15291;31600;2022;True;False;False;False;False;False;False;False;True;False;False;True;False;False
73607;32400;2020;True;False;False;False;False;False;False;False;True;False;False;True;False;False
79681;32500;2021;True;False;False;False;False;False;False;False;False;False;True;True;False;False
63771;33000;2021;True;False;False;False;False;False;False;False;False;True;False;True;False;False
76961;33000;2021;True;False;False;False;False;False;False;False;True;False;False;True;False;False
57523;33500;2021;True;False;False;False;False;False;False;False;False;False;True;True;False;False
39315;33500;2023;True;False;False;False;False;True;False;False;False;False;False;True;False;False
42191;34000;2021;True;False;False;False;False;False;False;False;True;False;False;True;False;False
26091;34900;2021;True;False;False;False;False;False;False;False;False;False;True;True;False;False
1817;36000;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
676;37000;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
728;37000;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
30168;37100;2022;True;False;False;False;False;False;False;False;False;False;True;True;False;False
37484;39500;2022;True;False;False;False;True;False;False;False;False;False;False;True;False;False
29447;42300;2023;True;False;False;False;False;True;False;False;False;False;False;True;False;False
18395;43200;2023;True;False;False;False;False;False;False;False;False;False;True;True;False;False
15795;45000;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
108045;47900;2018;False;False;True;False;True;False;False;False;False;False;False;True;False;False
11765;82500;2023;False;False;True;False;False;False;False;False;True;False;False;True;False;False
20074;84000;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
15048;84600;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
21475;85500;2023;False;False;True;False;False;False;False;False;False;True;False;True;False;False
12146;40500;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
48582;43800;2023;False;False;False;True;False;False;False;False;True;False;False;True;False;False
10;41470;2025;True;False;False;False;False;True;False;False;False;False;False;True;False;False
29444;42300;2023;True;False;False;False;False;True;False;False;False;False;False;True;False;False
2204;42640;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;44260;2025;False;False;False;True;False;True;False;False;False;False;False;True;False;False
8;45310;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
8686;45370;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
8298;45420;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
9;45470;2025;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;46360;2025;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;46760;2025;False;False;False;True;False;True;False;False;False;False;False;True;False;False
4462;47490;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
7086;48060;2023;False;False;False;True;False;True;False;False;False;False;False;True;False;False
2516;48070;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
2036;49040;2023;False;False;False;True;False;True;False;False;False;False;False;True;False;False
21;49070;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
907;49460;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
400;49840;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;51760;2023;False;False;False;True;False;True;False;False;False;False;False;True;False;False
10;56420;2025;False;False;False;True;False;True;False;False;False;False;False;True;False;False
0;58970;2025;False;False;False;True;False;True;False;False;False;False;False;True;False;False
13178;77200;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
6300;81800;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
20073;84000;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
15035;84600;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
15040;85700;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
3649;95860;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
503;99600;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
979;100940;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;102270;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
98;102270;2023;False;True;False;False;False;True;False;False;False;False;False;True;False;False
1405;102640;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
31;104370;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
3295;106910;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;110270;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;115670;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;118070;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
92;118070;2023;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;37770;2025;True;False;False;False;True;False;False;False;False;False;False;True;False;False
0;45560;2025;False;False;False;True;True;False;False;False;False;False;False;True;False;False
25;45770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
5128;45890;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
15;46530;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
10;46770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
4;47660;2025;False;False;False;True;True;False;False;False;False;False;False;True;False;False
108044;47900;2018;False;False;True;False;True;False;False;False;False;False;False;True;False;False
4;48060;2025;False;False;False;True;True;False;False;False;False;False;False;True;False;False
0;49410;2025;False;False;False;True;True;False;False;False;False;False;False;True;False;False
9;58970;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
10;59770;2025;True;False;False;False;True;False;False;False;False;False;False;True;False;False
7;60270;2024;False;False;False;True;True;False;False;False;False;False;False;True;False;False
6196;88890;2023;False;True;False;False;True;False;False;False;False;False;False;True;False;False
942;90270;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
15290;31600;2022;True;False;False;False;False;False;False;False;True;False;False;True;False;False
76956;33000;2021;True;False;False;False;False;False;False;False;True;False;False;True;False;False
70614;33200;2018;False;True;False;False;False;False;False;False;True;False;False;True;False;False
68302;33900;2018;False;True;False;False;False;False;False;False;True;False;False;True;False;False
42189;34000;2021;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;42770;2025;True;False;False;False;False;False;False;False;True;False;False;True;False;False
15;43750;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
9;44370;2025;True;False;False;False;False;False;False;False;True;False;False;True;False;False
5624;44770;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
223;45220;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
9;47140;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
0;48060;2025;False;False;False;True;False;False;False;False;True;False;False;True;False;False
2;49110;2025;False;False;False;True;False;False;False;False;True;False;False;True;False;False
1520;52480;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
2;53060;2025;False;False;False;True;False;False;False;False;True;False;False;True;False;False
6;61620;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
4022;100570;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
5310;102220;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
1700;102320;2023;False;True;False;False;False;False;False;False;True;False;False;True;False;False
0;116170;2023;False;False;True;False;False;False;False;False;True;False;False;True;False;False
0;119670;2023;False;False;True;False;False;False;False;False;True;False;False;True;False;False
63769;33000;2021;True;False;False;False;False;False;False;False;False;True;False;True;False;False
21472;85500;2023;False;False;True;False;False;False;False;False;False;True;False;True;False;False
0;118070;2023;False;False;True;False;False;False;False;False;False;True;False;True;False;False
57522;34100;2021;True;False;False;False;False;False;False;False;False;False;True;True;False;False
26089;34900;2021;True;False;False;False;False;False;False;False;False;False;True;True;False;False
18379;43200;2023;True;False;False;False;False;False;False;False;False;False;True;True;False;False
0;38470;2025;True;False;False;False;False;False;False;False;False;False;True;True;False;False
3818;38300;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
10;46770;2025;True;False;False;False;False;False;True;False;False;False;False;True;False;False
13;48120;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
15;48370;2025;True;False;False;False;False;False;True;False;False;False;False;True;False;False
33;49420;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
28;91790;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
33;113820;2024;False;False;True;False;False;False;True;False;False;False;False;True;False;False
40421;35900;2021;True;False;False;False;False;True;False;False;False;False;False;False;False;True
0;41475;2025;False;False;False;True;False;True;False;False;False;False;False;False;False;True
5;42555;2025;False;False;False;True;False;True;False;False;False;False;False;False;False;True
35338;42600;2022;False;False;False;True;False;True;False;False;False;False;False;False;False;True
3749;42605;2024;False;False;False;True;False;True;False;False;False;False;False;False;False;True
54383;42700;2022;False;False;False;True;False;True;False;False;False;False;False;False;False;True
31967;43800;2022;False;False;False;True;False;True;False;False;False;False;False;False;False;True
32157;43800;2022;False;False;False;True;False;True;False;False;False;False;False;False;False;True
28496;45600;2022;False;False;False;True;False;True;False;False;False;False;False;False;False;True
28755;45600;2022;False;False;False;True;False;True;False;False;False;False;False;False;False;True
10;45975;2025;True;False;False;False;False;True;False;False;False;False;False;False;False;True
4;46495;2025;False;False;False;True;False;True;False;False;False;False;False;False;False;True
16541;46500;2024;True;False;False;False;False;True;False;False;False;False;False;False;False;True
218;48205;2025;True;False;False;False;False;True;False;False;False;False;False;False;False;True
5268;48885;2023;False;False;False;True;False;True;False;False;False;False;False;False;False;True
4;49975;2025;False;False;False;True;False;True;False;False;False;False;False;False;False;True
0;49975;2024;True;False;False;False;False;True;False;False;False;False;False;False;False;True
6444;50825;2024;False;False;False;True;False;True;False;False;False;False;False;False;False;True
2;51325;2025;False;False;False;True;False;True;False;False;False;False;False;False;False;True
5;51515;2025;False;False;False;True;False;True;False;False;False;False;False;False;False;True
